rowlabel,sex,age,yrsarea,genhealt,cry2,relig3,tenure1,hominsur,persinc,inner,rural3,rubbcomm,vandcomm,livharm1a,tenharm,struct3,ethgrp2a,illONS,educat3,remploya,threviol2,walkdark,emdiqu15x,polatt7,confx
176131320,2,33,3,2,1,2,2,1,11,0,2,3,4,1,1,2,1,1,4,1,2,2,5,2,0.266492235
176132080,2,33,5,2,1,2,2,1,9,0,2,2,2,1,1,1,1,3,4,1,2,4,1,1,1.665469564
176132320,2,38,6,2,7,2,1,2,5,0,2,2,3,1,1,2,1,1,4,1,2,2,2,1,0.755415122
176133240,2,47,7,2,6,2,4,1,5,0,2,3,3,1,2,1,1,1,3,1,2,2,1,1,1.665469564
176133320,2,44,6,1,7,2,2,1,11,0,2,3,4,1,1,2,1,1,4,1,2,2,4,2,0.266492235
176134160,2,80,7,3,1,1,5,1,4,0,1,4,4,6,3,4,1,1,4,3,2,1,3,2,-1.301801443
176134240,2,73,6,2,1,2,2,1,12,0,1,4,4,1,1,4,1,3,4,1,2,3,2,4,-0.623837796
176135080,1,45,4,2,7,2,4,2,7,0,2,3,3,1,2,2,1,1,1,1,2,1,2,3,-0.672273977
176135160,1,39,1,1,1,2,4,2,6,0,2,3,4,3,3,1,1,1,1,1,2,2,4,2,0.266492235
176137080,2,68,6,3,1,1,4,1,4,0,2,3,3,6,2,4,1,3,2,3,2,3,2,2,0.526950939
176137240,2,47,4,3,1,1,4,1,4,0,2,3,3,3,3,1,1,3,4,1,2,2,1,2,-0.88707249
176138160,2,47,6,2,1,2,2,1,8,0,2,3,3,1,1,1,1,1,4,1,2,2,4,2,0.066739823
176138240,1,80,6,3,1,2,1,1,4,0,2,3,3,3,1,4,1,3,5,3,2,2,2,2,0.266492235
176139080,1,47,6,1,1,1,2,1,14,0,2,3,4,1,1,2,1,1,4,1,2,1,5,2,-0.608447834
176139160,2,30,4,1,2,2,4,1,8,0,1,3,4,1,3,2,1,1,4,1,2,2,5,2,0.069681647
176139240,2,40,4,1,1,2,2,1,14,0,1,3,4,1,1,2,1,1,4,1,2,3,5,2,0.327198527
176140160,1,29,1,1,1,1,4,1,6,0,2,3,3,3,3,1,1,1,4,1,2,1,4,2,0.066739823
176140320,2,32,4,3,7,2,2,1,12,0,2,4,4,1,1,2,1,3,4,1,2,1,3,2,0.266492235
176142080,2,46,1,2,7,2,4,2,8,0,1,4,4,1,3,2,1,1,4,3,2,2,5,2,0.266492235
176142240,2,46,2,1,1,2,4,1,12,0,1,4,4,1,3,2,1,1,4,1,2,2,5,2,-0.640620383
176142320,1,53,6,2,1,1,2,1,14,0,1,4,4,1,1,1,1,1,4,1,2,1,4,2,-0.88707249
176143160,2,30,5,4,7,2,5,1,3,0,1,4,4,3,3,1,1,3,4,1,2,2,5,1,0.972115955
176143240,1,51,3,1,1,2,2,1,14,0,1,4,4,1,1,2,1,1,4,1,2,1,4,2,0.510002518
176143320,1,75,7,2,1,1,1,1,11,0,1,4,4,1,1,4,1,3,2,1,2,1,3,1,1.465717151
176144160,2,35,3,1,7,2,4,2,5,1,2,2,2,2,3,2,1,1,1,1,2,3,1,1,1.447551199
176145080,2,64,7,1,1,2,1,1,7,0,1,4,4,1,1,4,1,1,2,3,2,2,5,3,-1.332237506
176145160,1,69,7,1,1,1,1,1,5,0,1,4,4,5,1,4,1,1,4,1,2,2,4,4,-1.105853671
176145240,1,59,6,3,1,2,1,1,14,0,1,4,4,2,1,1,1,2,4,1,2,3,5,4,-1.99774216
176145320,1,42,4,2,1,2,2,1,14,0,1,4,4,1,1,2,1,1,4,1,2,1,5,2,0.081266969
176146160,2,78,7,2,1,1,1,1,6,0,2,2,4,3,1,4,1,3,4,3,2,3,5,3,-1.089944754
176148320,1,30,7,2,1,2,2,1,11,0,2,4,4,2,1,1,1,1,3,1,2,1,2,2,0.066739823
176150080,2,40,7,1,1,2,2,1,12,0,2,4,4,1,1,2,1,1,4,1,2,1,4,1,1.190034319
176150240,2,43,4,2,1,6,2,1,6,0,2,3,3,1,1,1,3,1,1,3,2,3,4,5,-2.776875025
176152080,1,72,6,1,1,3,2,1,5,0,1,4,4,1,1,4,1,1,3,3,2,1,2,2,0.127446115
176152240,2,34,4,2,1,1,2,1,13,0,2,4,4,1,1,2,1,1,4,1,2,2,3,3,-0.210845329
176153240,2,59,6,2,1,1,2,1,6,0,2,3,4,4,1,1,1,1,3,1,2,2,3,4,-0.577138101
176154080,1,80,7,3,1,2,1,2,3,0,1,4,4,1,1,4,1,1,1,3,2,1,2,1,0.156157885
176155240,1,35,6,2,1,1,4,1,6,0,1,3,4,1,2,2,1,1,2,1,2,3,1,4,-2.027493434
176157080,2,68,7,1,7,2,1,1,14,0,2,4,4,1,1,4,1,1,4,3,2,1,5,1,1.665469564
176157240,2,57,7,2,2,1,1,1,6,0,2,4,4,1,1,1,1,1,1,1,2,3,3,2,-0.411637246
176158160,2,41,4,2,1,2,2,1,12,0,2,4,4,1,1,2,1,1,4,1,2,2,4,2,0.266492235
176159080,2,64,7,2,1,2,4,1,4,0,2,2,3,1,2,4,1,1,1,1,2,3,1,4,-0.91768658
176159160,2,40,5,2,2,1,4,1,11,0,2,3,3,1,3,1,1,1,4,1,2,3,2,5,-2.713226909
